"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"1","ccAustria","ccAustria","group",1,"binomial","BGC","auc",TRUE,0.634230503795721
"2","ccAustria","ccAustria","group",2,"binomial","BGC","auc",TRUE,0.653554175293306
"3","ccAustria","ccAustria","group",3,"binomial","BGC","auc",TRUE,0.663216011042098
"4","ccAustria","ccAustria","group",4,"binomial","BGC","auc",TRUE,0.655624568668047
"5","ccAustria","ccAustria","group",5,"binomial","BGC","auc",TRUE,0.687025534851622
"6","ccAustria","ccAustria","group",6,"binomial","BGC","auc",TRUE,0.701173222912353
"7","ccAustria","ccAustria","group",7,"binomial","BGC","auc",TRUE,0.668391994478951
"8","ccAustria","ccAustria","group",8,"binomial","BGC","auc",TRUE,0.690131124913734
"9","ccAustria","ccAustria","group",9,"binomial","BGC","auc",TRUE,0.662525879917184
"10","ccAustria","ccAustria","group",10,"binomial","BGC","auc",TRUE,0.704623878536922
"11","ccAustria","ccAustria","group",11,"binomial","BGC","auc",TRUE,0.728433402346446
"12","ccAustria","ccAustria","group",12,"binomial","BGC","auc",TRUE,0.648378191856453
"13","ccAustria","ccAustria","group",13,"binomial","BGC","auc",TRUE,0.681504485852312
"14","ccAustria","ccAustria","group",14,"binomial","BGC","auc",TRUE,0.674603174603175
"15","ccAustria","ccAustria","group",15,"binomial","BGC","auc",TRUE,0.706694271911663
"16","ccAustria","ccAustria","group",16,"binomial","BGC","auc",TRUE,0.663561076604555
"17","ccAustria","ccAustria","group",17,"binomial","BGC","auc",TRUE,0.6432022084196
"18","ccAustria","ccAustria","group",18,"binomial","BGC","auc",TRUE,0.689786059351277
"19","ccAustria","ccAustria","group",19,"binomial","BGC","auc",TRUE,0.679779158040028
"20","ccAustria","ccAustria","group",20,"binomial","BGC","auc",TRUE,0.659420289855073
"21","ccAustria","ccAustria","group",21,"binomial","BGC","auc",TRUE,0.634230503795721
"22","ccAustria","ccAustria","group",22,"binomial","BGC","auc",TRUE,0.648033126293996
"23","ccAustria","ccAustria","group",23,"binomial","BGC","auc",TRUE,0.663216011042098
"24","ccAustria","ccAustria","group",24,"binomial","BGC","auc",TRUE,0.650448585231194
"25","ccAustria","ccAustria","group",25,"binomial","BGC","auc",TRUE,0.697032436162871
"26","ccAustria","ccAustria","group",26,"binomial","BGC","auc",TRUE,0.6783988957902
"27","ccAustria","ccAustria","group",27,"binomial","BGC","auc",TRUE,0.652173913043478
"28","ccAustria","ccAustria","group",28,"binomial","BGC","auc",TRUE,0.637336093857833
"29","ccAustria","ccAustria","group",29,"binomial","BGC","auc",TRUE,0.6608005521049
"30","ccAustria","ccAustria","group",30,"binomial","BGC","auc",TRUE,0.709799861973775
"31","ccAustria","ccAustria","group",31,"binomial","BGC","auc",TRUE,0.703588681849551
"32","ccAustria","ccAustria","group",32,"binomial","BGC","auc",TRUE,0.690821256038647
"33","ccAustria","ccAustria","group",33,"binomial","BGC","auc",TRUE,0.653554175293306
"34","ccAustria","ccAustria","group",34,"binomial","BGC","auc",TRUE,0.664251207729469
"35","ccAustria","ccAustria","group",35,"binomial","BGC","auc",TRUE,0.636645962732919
"36","ccAustria","ccAustria","group",36,"binomial","BGC","auc",TRUE,0.6432022084196
"37","ccAustria","ccAustria","group",37,"binomial","BGC","auc",TRUE,0.694616977225673
"38","ccAustria","ccAustria","group",38,"binomial","BGC","auc",TRUE,0.705314009661836
"39","ccAustria","ccAustria","group",39,"binomial","BGC","auc",TRUE,0.674258109040718
"40","ccAustria","ccAustria","group",40,"binomial","BGC","auc",TRUE,0.682539682539683
"41","ccAustria","ccAustria","group",41,"binomial","BGC","auc",TRUE,0.671497584541063
"42","ccAustria","ccAustria","group",42,"binomial","BGC","auc",TRUE,0.694616977225673
"43","ccAustria","ccAustria","group",43,"binomial","BGC","auc",TRUE,0.719461697722567
"44","ccAustria","ccAustria","group",44,"binomial","BGC","auc",TRUE,0.652864044168392
"45","ccAustria","ccAustria","group",45,"binomial","BGC","auc",TRUE,0.6783988957902
"46","ccAustria","ccAustria","group",46,"binomial","BGC","auc",TRUE,0.657349896480331
"47","ccAustria","ccAustria","group",47,"binomial","BGC","auc",TRUE,0.698412698412698
"48","ccAustria","ccAustria","group",48,"binomial","BGC","auc",TRUE,0.647342995169082
"49","ccAustria","ccAustria","group",49,"binomial","BGC","auc",TRUE,0.700138026224983
"50","ccAustria","ccAustria","group",50,"binomial","BGC","auc",TRUE,0.682194616977226
"51","ccAustria","ccAustria","group",51,"binomial","BGC","auc",TRUE,0.726708074534162
"52","ccAustria","ccAustria","group",52,"binomial","BGC","auc",TRUE,0.649413388543823
"53","ccAustria","ccAustria","group",53,"binomial","BGC","auc",TRUE,0.672532781228433
