"","cohort","mcohort","resp.var","cv.fold","family","var.type","sensitivity","specificity"
"1","ccAustria","ccAustria","group",1,"binomial","BGC",1,0
"2","ccAustria","ccAustria","group",1,"binomial","BGC",0.978260869565217,0
"3","ccAustria","ccAustria","group",1,"binomial","BGC",0.978260869565217,0.0158730158730159
"4","ccAustria","ccAustria","group",1,"binomial","BGC",0.956521739130435,0.0158730158730159
"5","ccAustria","ccAustria","group",1,"binomial","BGC",0.934782608695652,0.0158730158730159
"6","ccAustria","ccAustria","group",1,"binomial","BGC",0.91304347826087,0.0158730158730159
"7","ccAustria","ccAustria","group",1,"binomial","BGC",0.91304347826087,0.0317460317460317
"8","ccAustria","ccAustria","group",1,"binomial","BGC",0.891304347826087,0.0317460317460317
"9","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.0317460317460317
"10","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.0476190476190476
"11","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.0634920634920635
"12","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.0793650793650794
"13","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.0952380952380952
"14","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.111111111111111
"15","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.126984126984127
"16","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.142857142857143
"17","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.158730158730159
"18","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.174603174603175
"19","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.19047619047619
"20","ccAustria","ccAustria","group",1,"binomial","BGC",0.869565217391304,0.206349206349206
"21","ccAustria","ccAustria","group",1,"binomial","BGC",0.847826086956522,0.206349206349206
"22","ccAustria","ccAustria","group",1,"binomial","BGC",0.847826086956522,0.222222222222222
"23","ccAustria","ccAustria","group",1,"binomial","BGC",0.826086956521739,0.222222222222222
"24","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.222222222222222
"25","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.238095238095238
"26","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.253968253968254
"27","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.26984126984127
"28","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.285714285714286
"29","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.301587301587302
"30","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.317460317460317
"31","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.333333333333333
"32","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.349206349206349
"33","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.365079365079365
"34","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.380952380952381
"35","ccAustria","ccAustria","group",1,"binomial","BGC",0.804347826086957,0.396825396825397
"36","ccAustria","ccAustria","group",1,"binomial","BGC",0.782608695652174,0.396825396825397
"37","ccAustria","ccAustria","group",1,"binomial","BGC",0.760869565217391,0.396825396825397
"38","ccAustria","ccAustria","group",1,"binomial","BGC",0.739130434782609,0.396825396825397
"39","ccAustria","ccAustria","group",1,"binomial","BGC",0.717391304347826,0.396825396825397
"40","ccAustria","ccAustria","group",1,"binomial","BGC",0.717391304347826,0.412698412698413
"41","ccAustria","ccAustria","group",1,"binomial","BGC",0.717391304347826,0.428571428571429
"42","ccAustria","ccAustria","group",1,"binomial","BGC",0.695652173913043,0.428571428571429
"43","ccAustria","ccAustria","group",1,"binomial","BGC",0.695652173913043,0.444444444444444
"44","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.444444444444444
"45","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.46031746031746
"46","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.476190476190476
"47","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.492063492063492
"48","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.507936507936508
"49","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.523809523809524
"50","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.53968253968254
"51","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.555555555555556
"52","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.571428571428571
"53","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.587301587301587
"54","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.603174603174603
"55","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.619047619047619
"56","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.634920634920635
"57","ccAustria","ccAustria","group",1,"binomial","BGC",0.673913043478261,0.650793650793651
"58","ccAustria","ccAustria","group",1,"binomial","BGC",0.652173913043478,0.650793650793651
"59","ccAustria","ccAustria","group",1,"binomial","BGC",0.630434782608696,0.650793650793651
"60","ccAustria","ccAustria","group",1,"binomial","BGC",0.630434782608696,0.666666666666667
"61","ccAustria","ccAustria","group",1,"binomial","BGC",0.630434782608696,0.682539682539683
"62","ccAustria","ccAustria","group",1,"binomial","BGC",0.608695652173913,0.682539682539683
"63","ccAustria","ccAustria","group",1,"binomial","BGC",0.608695652173913,0.698412698412698
"64","ccAustria","ccAustria","group",1,"binomial","BGC",0.58695652173913,0.698412698412698
"65","ccAustria","ccAustria","group",1,"binomial","BGC",0.58695652173913,0.714285714285714
"66","ccAustria","ccAustria","group",1,"binomial","BGC",0.565217391304348,0.714285714285714
"67","ccAustria","ccAustria","group",1,"binomial","BGC",0.543478260869565,0.714285714285714
"68","ccAustria","ccAustria","group",1,"binomial","BGC",0.521739130434783,0.714285714285714
"69","ccAustria","ccAustria","group",1,"binomial","BGC",0.5,0.714285714285714
"70","ccAustria","ccAustria","group",1,"binomial","BGC",0.5,0.73015873015873
"71","ccAustria","ccAustria","group",1,"binomial","BGC",0.478260869565217,0.73015873015873
"72","ccAustria","ccAustria","group",1,"binomial","BGC",0.456521739130435,0.73015873015873
"73","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.73015873015873
"74","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.746031746031746
"75","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.761904761904762
"76","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.777777777777778
"77","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.793650793650794
"78","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.80952380952381
"79","ccAustria","ccAustria","group",1,"binomial","BGC",0.434782608695652,0.825396825396825
"80","ccAustria","ccAustria","group",1,"binomial","BGC",0.41304347826087,0.825396825396825
"81","ccAustria","ccAustria","group",1,"binomial","BGC",0.41304347826087,0.841269841269841
"82","ccAustria","ccAustria","group",1,"binomial","BGC",0.41304347826087,0.857142857142857
"83","ccAustria","ccAustria","group",1,"binomial","BGC",0.41304347826087,0.873015873015873
"84","ccAustria","ccAustria","group",1,"binomial","BGC",0.391304347826087,0.873015873015873
"85","ccAustria","ccAustria","group",1,"binomial","BGC",0.391304347826087,0.888888888888889
"86","ccAustria","ccAustria","group",1,"binomial","BGC",0.369565217391304,0.888888888888889
"87","ccAustria","ccAustria","group",1,"binomial","BGC",0.347826086956522,0.888888888888889
"88","ccAustria","ccAustria","group",1,"binomial","BGC",0.326086956521739,0.888888888888889
"89","ccAustria","ccAustria","group",1,"binomial","BGC",0.304347826086957,0.888888888888889
"90","ccAustria","ccAustria","group",1,"binomial","BGC",0.282608695652174,0.888888888888889
"91","ccAustria","ccAustria","group",1,"binomial","BGC",0.260869565217391,0.888888888888889
"92","ccAustria","ccAustria","group",1,"binomial","BGC",0.260869565217391,0.904761904761905
"93","ccAustria","ccAustria","group",1,"binomial","BGC",0.239130434782609,0.904761904761905
