"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"1","ccAustria","ccAustria","group",1,"binomial","BGC","auc",FALSE,0.5
"2","ccAustria","ccAustria","group",2,"binomial","BGC","auc",FALSE,0.5
"3","ccAustria","ccAustria","group",3,"binomial","BGC","auc",FALSE,0.5
"4","ccAustria","ccAustria","group",4,"binomial","BGC","auc",TRUE,0.8
"5","ccAustria","ccAustria","group",5,"binomial","BGC","auc",TRUE,0.8
"6","ccAustria","ccAustria","group",6,"binomial","BGC","auc",TRUE,0.6
"7","ccAustria","ccAustria","group",7,"binomial","BGC","auc",TRUE,0.666666666666667
"8","ccAustria","ccAustria","group",8,"binomial","BGC","auc",FALSE,0.5
"9","ccAustria","ccAustria","group",9,"binomial","BGC","auc",TRUE,1
"10","ccAustria","ccAustria","group",10,"binomial","BGC","auc",FALSE,0.5
"11","ccAustria","ccAustria","group",11,"binomial","BGC","auc",TRUE,0.514285714285714
"12","ccAustria","ccAustria","group",12,"binomial","BGC","auc",TRUE,0.625
"13","ccAustria","ccAustria","group",13,"binomial","BGC","auc",TRUE,0.9
"14","ccAustria","ccAustria","group",14,"binomial","BGC","auc",TRUE,0.589285714285714
"15","ccAustria","ccAustria","group",15,"binomial","BGC","auc",FALSE,0.5
"16","ccAustria","ccAustria","group",16,"binomial","BGC","auc",TRUE,0.625
"17","ccAustria","ccAustria","group",17,"binomial","BGC","auc",TRUE,0.6
"18","ccAustria","ccAustria","group",18,"binomial","BGC","auc",TRUE,0.9
"19","ccAustria","ccAustria","group",19,"binomial","BGC","auc",FALSE,0.5
"20","ccAustria","ccAustria","group",20,"binomial","BGC","auc",TRUE,0.625
"21","ccAustria","ccAustria","group",21,"binomial","BGC","auc",FALSE,0.5
"22","ccAustria","ccAustria","group",22,"binomial","BGC","auc",FALSE,0.5
"23","ccAustria","ccAustria","group",23,"binomial","BGC","auc",FALSE,0.5
"24","ccAustria","ccAustria","group",24,"binomial","BGC","auc",TRUE,0.7
"25","ccAustria","ccAustria","group",25,"binomial","BGC","auc",TRUE,0.6
"26","ccAustria","ccAustria","group",26,"binomial","BGC","auc",TRUE,0.657142857142857
"27","ccAustria","ccAustria","group",27,"binomial","BGC","auc",FALSE,0.5
"28","ccAustria","ccAustria","group",28,"binomial","BGC","auc",TRUE,0.571428571428571
"29","ccAustria","ccAustria","group",29,"binomial","BGC","auc",TRUE,0.833333333333333
"30","ccAustria","ccAustria","group",30,"binomial","BGC","auc",TRUE,0.833333333333333
"31","ccAustria","ccAustria","group",31,"binomial","BGC","auc",TRUE,0.75
"32","ccAustria","ccAustria","group",32,"binomial","BGC","auc",FALSE,0.5
"33","ccAustria","ccAustria","group",33,"binomial","BGC","auc",TRUE,0.971428571428571
"34","ccAustria","ccAustria","group",34,"binomial","BGC","auc",TRUE,0.875
"35","ccAustria","ccAustria","group",35,"binomial","BGC","auc",TRUE,0.8
"36","ccAustria","ccAustria","group",36,"binomial","BGC","auc",TRUE,0.6
"37","ccAustria","ccAustria","group",37,"binomial","BGC","auc",TRUE,0.708333333333333
"38","ccAustria","ccAustria","group",38,"binomial","BGC","auc",TRUE,0.6
"39","ccAustria","ccAustria","group",39,"binomial","BGC","auc",FALSE,0.5
"40","ccAustria","ccAustria","group",40,"binomial","BGC","auc",TRUE,0.6
"41","ccAustria","ccAustria","group",41,"binomial","BGC","auc",FALSE,0.5
"42","ccAustria","ccAustria","group",42,"binomial","BGC","auc",TRUE,0.666666666666667
"43","ccAustria","ccAustria","group",43,"binomial","BGC","auc",TRUE,0.803571428571429
"44","ccAustria","ccAustria","group",44,"binomial","BGC","auc",FALSE,0.5
"45","ccAustria","ccAustria","group",45,"binomial","BGC","auc",TRUE,0.433333333333333
"46","ccAustria","ccAustria","group",46,"binomial","BGC","auc",TRUE,0.791666666666667
"47","ccAustria","ccAustria","group",47,"binomial","BGC","auc",FALSE,0.5
"48","ccAustria","ccAustria","group",48,"binomial","BGC","auc",TRUE,0.708333333333333
"49","ccAustria","ccAustria","group",49,"binomial","BGC","auc",FALSE,0.5
"50","ccAustria","ccAustria","group",50,"binomial","BGC","auc",TRUE,0.541666666666667
"51","ccAustria","ccAustria","group",51,"binomial","BGC","auc",FALSE,0.5
"52","ccAustria","ccAustria","group",52,"binomial","BGC","auc",TRUE,0.583333333333333
"53","ccAustria","ccAustria","group",53,"binomial","BGC","auc",FALSE,0.5
"54","ccAustria","ccAustria","group",54,"binomial","BGC","auc",FALSE,0.5
"55","ccAustria","ccAustria","group",55,"binomial","BGC","auc",TRUE,0.321428571428571
"56","ccAustria","ccAustria","group",56,"binomial","BGC","auc",TRUE,0.8
"57","ccAustria","ccAustria","group",57,"binomial","BGC","auc",FALSE,0.5
"58","ccAustria","ccAustria","group",58,"binomial","BGC","auc",TRUE,0.8
"59","ccAustria","ccAustria","group",59,"binomial","BGC","auc",TRUE,0.714285714285714
"60","ccAustria","ccAustria","group",60,"binomial","BGC","auc",FALSE,0.5
"61","ccAustria","ccAustria","group",61,"binomial","BGC","auc",TRUE,0.875
"62","ccAustria","ccAustria","group",62,"binomial","BGC","auc",FALSE,0.5
"63","ccAustria","ccAustria","group",63,"binomial","BGC","auc",TRUE,0.514285714285714
"64","ccAustria","ccAustria","group",64,"binomial","BGC","auc",TRUE,0.6
"65","ccAustria","ccAustria","group",65,"binomial","BGC","auc",TRUE,0.55
"66","ccAustria","ccAustria","group",66,"binomial","BGC","auc",TRUE,0.566666666666667
"67","ccAustria","ccAustria","group",67,"binomial","BGC","auc",TRUE,0.75
"68","ccAustria","ccAustria","group",68,"binomial","BGC","auc",TRUE,0.9
"69","ccAustria","ccAustria","group",69,"binomial","BGC","auc",TRUE,0.766666666666667
"70","ccAustria","ccAustria","group",70,"binomial","BGC","auc",FALSE,0.5
"71","ccAustria","ccAustria","group",71,"binomial","BGC","auc",TRUE,0.657142857142857
"72","ccAustria","ccAustria","group",72,"binomial","BGC","auc",TRUE,0.833333333333333
"73","ccAustria","ccAustria","group",73,"binomial","BGC","auc",FALSE,0.5
"74","ccAustria","ccAustria","group",74,"binomial","BGC","auc",TRUE,0.514285714285714
"75","ccAustria","ccAustria","group",75,"binomial","BGC","auc",TRUE,0.8
"76","ccAustria","ccAustria","group",76,"binomial","BGC","auc",TRUE,0.75
"77","ccAustria","ccAustria","group",77,"binomial","BGC","auc",TRUE,0.875
"78","ccAustria","ccAustria","group",78,"binomial","BGC","auc",FALSE,0.5
"79","ccAustria","ccAustria","group",79,"binomial","BGC","auc",FALSE,0.5
"80","ccAustria","ccAustria","group",80,"binomial","BGC","auc",TRUE,0.628571428571429
"81","ccAustria","ccAustria","group",81,"binomial","BGC","auc",TRUE,0.733333333333333
"82","ccAustria","ccAustria","group",82,"binomial","BGC","auc",FALSE,0.5
"83","ccAustria","ccAustria","group",83,"binomial","BGC","auc",TRUE,0.833333333333333
"84","ccAustria","ccAustria","group",84,"binomial","BGC","auc",TRUE,0.791666666666667
"85","ccAustria","ccAustria","group",85,"binomial","BGC","auc",FALSE,0.5
"86","ccAustria","ccAustria","group",86,"binomial","BGC","auc",TRUE,0.464285714285714
"87","ccAustria","ccAustria","group",87,"binomial","BGC","auc",TRUE,0.685714285714286
"88","ccAustria","ccAustria","group",88,"binomial","BGC","auc",TRUE,0.6
"89","ccAustria","ccAustria","group",89,"binomial","BGC","auc",TRUE,0.5
